1. 		Boston 	3 	2 	1 	0 	8 	6 	2 	5 	1.67
2. 		New Jersey 	2 	2 	0 	0 	5 	1 	4 	4 	2.00
3. 		Tampa Bay 	3 	2 	0 	1 	13 	8 	5 	4 	1.33
4. 		Ottawa 	2 	2 	0 	0 	8 	1 	7 	4 	2.00
5. 		Buffalo 	2 	2 	0 	0 	7 	3 	4 	4 	2.00
6. 		Toronto 	3 	2 	0 	1 	8 	5 	3 	4 	1.33
7. 		Pittsburgh 	3 	2 	0 	1 	11 	9 	2 	4 	1.33
8. 		Winnipeg 	3 	1 	1 	1 	6 	8 	-2 	3 	1.00
9. 		Montreal 	2 	1 	0 	1 	5 	3 	2 	2 	1.00
10. 		NY Islanders 	2 	1 	0 	1 	5 	5 	0 	2 	1.00
11. 		Florida 	3 	1 	0 	2 	6 	9 	-3 	2 	0.67
12. 		NY Rangers 	3 	1 	0 	2 	8 	12 	-4 	2 	0.67
13. 		Washington 	2 	0 	0 	2 	5 	10 	-5 	0 	0.00
14. 		Carolina 	2 	0 	0 	2 	2 	9 	-7 	0 	0.00
15. 		Philadelphia 	3 	0 	0 	3 	3 	11 	-8 	0 	0.00
1. 		Chicago 	3 	3 	0 	0 	14 	8 	6 	6 	2.00
2. 		San Jose 	2 	2 	0 	0 	10 	4 	6 	4 	2.00
3. 		Minnesota 	3 	2 	0 	1 	6 	5 	1 	4 	1.33
4. 		Anaheim 	2 	2 	0 	0 	12 	7 	5 	4 	2.00
5. 		Dallas 	3 	2 	0 	1 	6 	5 	1 	4 	1.33
6. 		St. Louis 	3 	2 	0 	1 	12 	6 	6 	4 	1.33
7. 		Nashville 	3 	1 	2 	0 	8 	8 	0 	4 	1.33
8. 		Columbus 	3 	1 	1 	1 	7 	11 	-4 	3 	1.00
9. 		Vancouver 	3 	1 	1 	1 	8 	12 	-4 	3 	1.00
10. 		Colorado 	2 	1 	0 	1 	5 	5 	0 	2 	1.00
11. 		Edmonton 	2 	1 	0 	1 	6 	8 	-2 	2 	1.00
12. 		Phoenix 	3 	1 	0 	2 	12 	11 	1 	2 	0.67
13. 		Detroit 	3 	1 	0 	2 	5 	11 	-6 	2 	0.67
14. 		Calgary 	3 	0 	1 	2 	7 	12 	-5 	1 	0.33
15. 		Los Angeles 	2 	0 	0 	2 	3 	8 	-5 	0 	0.00
