Blues
Maalivahdit 		O 	LPP 	Arvo 
Niinimaki Jesse 	20 	119 	300 000
Pellinen Jaakko 	20 	57 	220 000
Rajala Toni 		0 	0 	150 000
Rask Joonas 		17 	94 	300 000
Salonen Pasi 		20 	65 	265 000
Sandell Sami 		0 	0 	150 000
Sandvik Henri 		12 	11 	180 000
Snellman Niko 		6 	5 	175 000
Snellman Ville 		3 	8 	150 000
Sointu Matias 		0 	0 	150 000
Soloduhin Vjatsheslav 	3 	4 	150 000
Jokerit
Jokerit
Maalivahdit 		O 	LPP 	Arvo 
Kautto Jani 		0 	0 	150 000
Riksman Juuso 		19 	206 	405 000
Stromberg Mikko 	2 	10 	235 000
Puolustajat 		O 	LPP 	Arvo 
Brooks Alex 		12 	51 	265 000
Eronen Teemu 		7 	24 	200 000
Kalteva Mikko 		18 	88 	250 000
Kauppinen Marko 	16 	76 	430 000
Kivisto Tommi 		2 	4 	165 000
Koivisto Tom 		14 	101 	400 000
Manelius Nico 		3 	3 	160 000
Malkia Simo 		18 	71 	300 000
Niemi Antti-Jussi 	14 	70 	300 000
Rullier Joe 		11 	41 	250 000
Olander Jere 		0 	0 	150 000
Hyokkaajat 		O 	LPP 	Arvo 
Battaglia Bates 	8 	15 	265 000
Ben-Amor Semir 		18 	58 	200 000
Bremberg Fredrik 	19 	134 	475 000
Hauhtonen Janne 	11 	78 	285 000
Helenius Jani-Petteri 	0 	0 	150 000
Hentunen Jukka 		19 	202 	490 000
Juutilainen Jan-Mikael 	14 	14 	150 000
Lahti Janne 		19 	158 	440 000
Lind Juha 		19 	56 	230 000
Maki Tomi 		18 	61 	225 000
Nylander Michael 	5 	1 	450 000
Pallassalo Tomi 	0 	0 	150 000
Pirnes Esa 		19 	196 	420 000
Pitkanen Ilmari 	1 	0 	150 000
Pulkkinen Teemu 	0 	0 	150 000
Pulkkinen Toni 		0 	0 	150 000
Rita Jani 		19 	163 	385 000
Saarinen Ossi 		19 	41 	250 000
Valtonen Tomek 		0 	0 	150 000
Vauhkonen Olavi 	19 	25 	170 000
JYP
JYP
Maalivahdit 		O 	LPP 	Arvo 
Kaulio Niko 		0 	0 	150 000
Laitinen Jarno 		0 	0 	150 000
Tuokkola Pekka 		16 	155 	390 000
Wallinheimo Sinuhe 	7 	50 	390 000
Puolustajat 		O 	LPP 	Arvo 
Jaatinen Antti 		20 	78 	215 000
Kaijomaa Kalle 		21 	116 	300 000
Kantee Kevin 		9 	17 	195 000
Koistinen Matti 	0 	0 	150 000
Koskinen Kalle 		21 	124 	425 000
Malmivaara Olli 	21 	87 	400 000
Vatanen Sami 		18 	123 	435 000
Viitanen Mikko 		15 	36 	270 000
Valivaara Jyrki 	0 	0 	150 000
Hyokkaajat 		O 	LPP 	Arvo 
Asplund Turo 		0 	0 	150 000
Hakkarainen Mikko 	17 	47 	285 000
Heikkinen Timo-Pekka 	0 	0 	150 000
Hytonen Juha-Pekka 	19 	159 	440 000
Ikonen Jasse 		1 	1 	150 000
Jormakka Pekka 		0 	0 	150 000
Jaaskelainen Jari 	21 	88 	275 000
Kariya Steve 		20 	115 	485 000
Lahti Miika 		21 	77 	250 000
Louhivaara Ossi 	20 	135 	320 000
Makkonen Jussi 		11 	89 	435 000
Pesonen Harri 		3 	-2 	150 000
Pihlman Tuomas 		8 	73 	440 000
Pihlstrom Antti 	10 	105 	450 000
Piiroinen Samuli 	0 	0 	150 000
Poukkula Markus 	0 	0 	150 000
Riska Filip 		21 	97 	270 000
Sipilainen Olli 	20 	100 	265 000
Tuppurainen Jani 	21 	97 	430 000
Virpio Jouni 		0 	0 	150 000
Virtanen Antti 		20 	95 	400 000
Virtanen Jonne 		0 	0 	150 000
Vanttinen Tuomas 	18 	68 	285 000
KalPa
KalPa
Maalivahdit 		O 	LPP 	Arvo 
Ahonen Ari 		14 	102 	400 000
Jarvinen Mika 		7 	43 	300 000
Simila Petteri 		0 	0 	150 000
Puolustajat 		O 	LPP 	Arvo 
Andersson Adam 		13 	168 	465 000
Hirvonen Pasi 		10 	25 	175 000
Hyvarinen Ville 	0 	0 	150 000
Jalasvaara Janne 	18 	132 	345 000
Kukkonen Mikko 		11 	26 	185 000
Lappalainen Lasse 	0 	0 	150 000
Seppanen Timo 		7 	19 	250 000
Stromberg Mika 		19 	115 	410 000
Timonen Jussi 		20 	82 	290 000
Varakas Ville 		20 	64 	250 000
Hyokkaajat 		O 	LPP 	Arvo 
Charleston Daniel 	1 	3 	150 000
Dahlman Toni 		13 	41 	360 000
Hartikainen Teemu 	16 	117 	385 000
Hyvarinen Toni 		10 	28 	250 000
Jokinen Tommi 		20 	37 	300 000
Kapanen Sami 		20 	208 	485 000
Kerman Kalle 		20 	139 	420 000
Kiiskinen Tuomas 	19 	84 	485 000
Laakso Tapio 		20 	98 	300 000
Malinen Jarkko 		2 	1 	150 000
Miettinen Tommi 	20 	163 	415 000
Nuutinen Mikko 		1 	0 	150 000
Pakarinen Iiro 		13 	39 	240 000
Rasi Petteri 		2 	2 	150 000
Riekkinen Joonas 	19 	61 	225 000
Rissanen Jaakko 	6 	23 	180 000
Sahlstedt Kalle 	20 	87 	405 000
Salo Timo 		20 	62 	270 000
Karpat
Karpat
Maalivahdit 		O 	LPP 	Arvo 
Karhunen Tomi 		0 	0 	150 000
Koivisto Petri 		14 	75 	365 000
Rautiola Antti 		0 	0 	150 000
Tarkki Tuomas 		9 	98 	370 000
Puolustajat 		O 	LPP 	Arvo 
Aalto Teemu 		19 	169 	470 000
Forrest Justin 		0 	0 	150 000
Gronholm Ossi-Petteri 	2 	5 	150 000
Jokinen Juho 		8 	21 	270 000
Jushkevitsh Dmitri 	21 	122 	400 000
Korpikari Oskari 	21 	107 	290 000
Lehtonen Mikko 		3 	35 	445 000
Liljeblad Joni 		1 	3 	150 000
Mikkola Ilkka 		21 	91 	430 000
Niemela Mikko 		0 	0 	150 000
Ohtamaa Atte 		19 	73 	240 000
Ylonen Antti 		11 	14 	200 000
Hyokkaajat 		O 	LPP 	Arvo 
Aarnio Antti 		15 	55 	180 000
Alikoski Mikko 		15 	58 	220 000
Donskoi Joonas 		9 	17 	250 000
Junttila Julius 	1 	0 	150 000
Karppinen Veikko 	21 	47 	220 000
Kaspar Lukas 		19 	145 	440 000
Keranen Juho 		9 	10 	200 000
Kiilholma Juha 		21 	72 	260 000
Komulainen Joonas 	0 	0 	150 000
Koskenkorva Kimmo 	21 	65 	370 000
Kuusela Kristian 	19 	125 	455 000
Normio Teemu 		19 	60 	280 000
Rosa Pavel 		16 	158 	500 000
Saarenheimo Pekka 	16 	33 	270 000
Shvidki Denis 		0 	0 	150 000
Viinanen Mika 		21 	154 	375 000
Viitakoski Vesa 	21 	100 	290 000
Viuhkola Jari 		7 	35 	485 000
Lukko
Lukko
Maalivahdit 		O 	LPP 	Arvo 
Heikkila Patrik 	0 	0 	150 000
Raanta Antti 		4 	39 	275 000
Tellqvist Mikael 	16 	175 	400 000
Vehanen Petri 		0 	0 	150 000
Puolustajat 		O 	LPP 	Arvo 
Cook Charlie 		19 	110 	440 000
Honkaheimo Otto 	18 	30 	300 000
Kovanen Tommi 		19 	152 	455 000
Lehikoinen Esa 		0 	0 	150 000
Nevalainen Patrik 	4 	5 	165 000
Pettinen Tomi 		16 	144 	375 000
Rantanen Anssi 		18 	40 	200 000
Tikkanen Harri 		18 	136 	385 000
Vidgren Tony 		2 	11 	160 000
