HIFK
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Korhonen Risto 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	151 500 	
Karmeniemi Lauri 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	154 500 	
Laamanen Jukka 		13 	0 	6 	0 	0 	0 	0 	42 	9 	6 	10 	0 	0 	0 	0 	82 	493 500 	
Maenpaa Mikko 		13 	5 	2 	0 	1 	0 	1 	73 	10 	8 	18 	0 	1 	1 	2 	125 	604 500 	
Makela Tuukka 		13 	0 	0 	0 	0 	0 	0 	11 	2 	6 	12 	0 	0 	0 	0 	18 	249 500 	
Syvasalmi Kai 		13 	0 	1 	0 	0 	0 	0 	33 	4 	7 	8 	0 	0 	0 	0 	34 	358 500 	
Tuulola Marko 		13 	1 	4 	0 	0 	0 	0 	28 	7 	10 	14 	0 	0 	0 	0 	54 	466 000 	
Hyokkaajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Honka Juuso 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Hamalainen Ville 		13 	4 	2 	1 	0 	0 	0 	16 	5 	3 	0 	0 	2 	0 	0 	56 	405 000 	
Happola Toni 		13 	1 	1 	0 	1 	0 	0 	15 	2 	5 	8 	0 	0 	0 	0 	29 	318 500 	
Jarvinen Jan-Mikael 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Karevaara Joona 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	151 500 	
Kemppainen Joonas 		13 	0 	1 	0 	0 	0 	0 	22 	3 	3 	0 	0 	0 	0 	0 	20 	313 000 	
Kolehmainen Janne 		13 	1 	1 	0 	0 	0 	0 	16 	3 	2 	29 	0 	0 	0 	0 	20 	276 000 	
Laakkonen Janne 		13 	5 	8 	0 	2 	0 	1 	33 	9 	10 	8 	0 	0 	2 	2 	114 	565 500 	
Louhi Jyrki 		13 	2 	4 	0 	0 	0 	0 	34 	4 	7 	14 	0 	0 	0 	0 	48 	376 500 	
Lahteenmaki Sami 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Muhonen Tuomas 		13 	1 	1 	0 	0 	0 	0 	19 	3 	3 	0 	0 	1 	0 	0 	28 	273 000 	
