Blues
Maalivahdit 	  	O 	LPP 	Arvo
Maalivahdit 	  	O 	LPP 	Arvo
Kautto Jani 		13 	0 	150 000
Riksman Juuso 		13 	100 	430 000
Stromberg Mikko 	13 	29 	250 000
Puolustajat 	  	O 	LPP 	Arvo
Brooks Alex 		5 	10 	200 000
Eronen Teemu 		8 	21 	175 000
Kalteva Mikko 		2 	-1 	170 000
Kauppinen Marko 	13 	115 	405 000
Kivisto Tommi 		8 	28 	205 000
Koivisto Tom 		4 	25 	330 000
Manelius Nico 		7 	3 	190 000
Malkia Simo 		13 	88 	300 000
Niemi Antti-Jussi 	11 	40 	315 000
Rullier Joe 		0 	0 	250 000
Olander Jere 		6 	15 	150 000
Hyokkaajat 	  	O 	LPP 	Arvo
Ben-Amor Semir 		7 	3 	160 000
Bremberg Fredrik 	13 	97 	475 000
Hauhtonen Janne 	7 	17 	250 000
Helenius Jani-Petteri 	0 	0 	150 000
Hentunen Jukka 		13 	122 	480 000
Juutilainen Jan-Mikael 	7 	4 	160 000
Lahti Janne 		13 	83 	340 000
Lind Juha 		13 	50 	200 000
Maki Tomi 		8 	20 	210 000
Pallassalo Tomi 	1 	0 	165 000
Pirnes Esa 		13 	97 	400 000
Pitkanen Ilmari 	10 	7 	170 000
Pulkkinen Teemu 	0 	0 	280 000
Pulkkinen Toni 		0 	0 	150 000
Rita Jani 		13 	72 	300 000
Saarinen Ossi 		12 	32 	265 000
Tahtinen Markku 	13 	64 	285 000
Vauhkonen Olavi 	11 	16 	170 000
JYP
JYP
Maalivahdit 	  	O 	LPP 	Arvo
Kaulio Niko 		12 	0 	150 000
Laitinen Jarno 		12 	0 	150 000
Tuokkola Pekka 		12 	61 	420 000
Wallinheimo Sinuhe 	12 	42 	420 000
Puolustajat 	  	O 	LPP 	Arvo
Jaatinen Antti 		2 	6 	165 000
Kaijomaa Kalle 		12 	60 	300 000
Kantee Kevin 		10 	8 	200 000
Koskinen Kalle 		12 	42 	375 000
Malmivaara Olli 	12 	87 	400 000
Vatanen Sami 		12 	111 	425 000
Viitanen Mikko 		12 	86 	280 000
Valivaara Jyrki 	0 	0 	235 000
Hyokkaajat 	  	O 	LPP 	Arvo
Asplund Turo 		0 	0 	150 000
Hakkarainen Mikko 	7 	35 	200 000
Heikkinen Timo-Pekka 	0 	0 	150 000
Hytonen Juha-Pekka 	12 	158 	440 000
Ikonen Jasse 		8 	34 	185 000
Jormakka Pekka 		2 	0 	170 000
Jaaskelainen Jari 	12 	11 	250 000
Kariya Steve 		12 	101 	485 000
Lahti Miika 		5 	19 	185 000
Louhivaara Ossi 	12 	81 	330 000
Pesonen Harri 		6 	24 	280 000
Pihlman Tuomas 		12 	194 	475 000
Piiroinen Samuli 	2 	7 	175 000
Poukkula Markus 	0 	0 	200 000
Riska Filip 		12 	27 	270 000
Sipilainen Olli 	12 	35 	220 000
Tuppurainen Jani 	12 	117 	420 000
Virpio Jouni 		0 	0 	155 000
Virtanen Antti 		12 	46 	405 000
Virtanen Jonne 		0 	0 	150 000
Vanttinen Tuomas 	6 	30 	300 000
KalPa
KalPa
Maalivahdit 	  	O 	LPP 	Arvo
Ahonen Ari 		11 	86 	390 000
Jarvinen Mika 		11 	36 	370 000
Puolustajat 	  	O 	LPP 	Arvo
Andersson Adam 		11 	61 	470 000
Hirvonen Pasi 		0 	0 	155 000
Hyvarinen Ville 	0 	0 	150 000
Jalasvaara Janne 	11 	103 	340 000
Kukkonen Mikko 		4 	4 	170 000
Lappalainen Lasse 	0 	0 	150 000
Seppanen Timo 		11 	25 	250 000
Stromberg Mika 		9 	46 	400 000
Timonen Jussi 		10 	33 	285 000
Varakas Ville 		11 	48 	250 000
Hyokkaajat 	  	O 	LPP 	Arvo
Charleston Daniel 	2 	2 	260 000
Hartikainen Teemu 	10 	63 	335 000
Hyvarinen Toni 		4 	6 	225 000
Jokinen Tommi 		11 	77 	295 000
Kapanen Sami 		7 	24 	450 000
Kerman Kalle 		11 	63 	410 000
Kiiskinen Tuomas 	7 	80 	500 000
Laakso Tapio 		11 	35 	300 000
Malinen Jarkko 		0 	0 	150 000
Miettinen Tommi 	11 	59 	400 000
Makiaho Toni 		10 	35 	275 000
Nuutinen Mikko 		0 	0 	150 000
Pakarinen Iiro 		10 	20 	200 000
Rasi Petteri 		0 	0 	160 000
Riekkinen Joonas 	9 	29 	200 000
Rissanen Jaakko 	3 	-1 	150 000
Sahlstedt Kalle 	11 	73 	455 000
Salo Timo 		8 	21 	230 000
Karpat
Karpat
Maalivahdit 	  	O 	LPP 	Arvo
Koivisto Petri 		12 	74 	375 000
Rautiola Antti 		12 	0 	200 000
Tarkki Tuomas 		12 	29 	365 000
Puolustajat 	  	O 	LPP 	Arvo
Aalto Teemu 		11 	101 	450 000
Gronholm Ossi-Petteri 	7 	40 	280 000
Jokinen Juho 		12 	36 	285 000
Jushkevitsh Dmitri 	12 	97 	440 000
Korpikari Oskari 	10 	27 	275 000
Liljeblad Joni 		0 	0 	150 000
Mikkola Ilkka 		12 	79 	430 000
Niemela Mikko 		0 	0 	150 000
Ohtamaa Atte 		9 	13 	200 000
Ylonen Antti 		0 	0 	200 000
Hyokkaajat 	  	O 	LPP 	Arvo
Aarnio Antti 		3 	13 	175 000
Alikoski Mikko 		10 	32 	230 000
Donskoi Joonas 		0 	0 	250 000
Karppinen Veikko 	9 	16 	220 000
Kaspar Lukas 		12 	131 	425 000
Keranen Juho 		11 	26 	260 000
Kiilholma Juha 		12 	50 	255 000
Komulainen Joonas 	0 	0 	150 000
Koskenkorva Kimmo 	12 	48 	390 000
Kuusela Kristian 	12 	116 	460 000
Normio Teemu 		2 	2 	285 000
Pekkala Tomi 		9 	23 	240 000
Rosa Pavel 		12 	98 	490 000
Saarenheimo Pekka 	10 	33 	300 000
Viinanen Mika 		12 	62 	375 000
Viitakoski Vesa 	9 	19 	285 000
Viuhkola Jari 		7 	74 	300 000
Lukko
Lukko
Maalivahdit 	  	O 	LPP 	Arvo
Heikkila Patrik 	13 	0 	333 333
Raanta Antti 		13 	59 	285 000
Tellqvist Mikael 	13 	25 	430 000
Puolustajat 	  	O 	LPP 	Arvo
Cook Charlie 		13 	87 	440 000
Honkaheimo Otto 	12 	54 	290 000
Kovanen Tommi 		12 	111 	450 000
Lehikoinen Esa 		0 	0 	165 000
Makkonen Jussi 		0 	0 	150 000
Nevalainen Patrik 	9 	38 	195 000
Pettinen Tomi 		13 	68 	395 000
Rantanen Anssi 		5 	17 	200 000
Tikkanen Harri 		13 	92 	385 000
Vidgren Tony 		1 	2 	160 000
Virtanen Jesse 		0 	0 	333 333
Hyokkaajat 	  	O 	LPP 	Arvo
Aaltonen Nico 		3 	13 	200 000
Elo Eero 		0 	0 	160 000
Jasu Juhani 		13 	80 	215 000
Kangasmaki Aki 		0 	0 	150 000
Keranen Janne 		12 	40 	415 000
Kivimaki Samuli 	13 	89 	230 000
Laaksonen Antti 	13 	50 	335 000
Laaksonen Jere 		0 	0 	150 000
McLean Kurtis 		13 	129 	475 000
Morrison Justin 	10 	87 	470 000
Nabb Kim 		11 	56 	200 000
Nurmi Teemu 		0 	0 	220 000
Palola Olli 		8 	30 	165 000
Petruzalek Jakub 	13 	76 	450 000
Rajala Juuso 		8 	38 	170 000
Tukonen Lauri 		13 	55 	380 000
Tuomainen Miikka 	13 	56 	290 000
Virtala Marko 		13 	19 	250 000
Pelicans
Pelicans
Maalivahdit 	  	O 	LPP 	Arvo
Hovinen Niko 		13 	0 	235 000
Huumonen Tuukka 	13 	0 	150 000
Kuusela Joonas 		13 	0 	280 000
Lamothe Marc 		13 	71 	370 000
Nikkila Tommi 		13 	69 	300 000
Puolustajat 	  	O 	LPP 	Arvo
Forsstrom Jani 		11 	58 	290 000
Helenius Sami 		12 	-3 	155 000
Hurri Joonas 		0 	0 	150 000
Jalvanti Joonas 	13 	36 	245 000
Kakko Erik 		5 	17 	200 000
Kousa Mikko 		6 	24 	280 000
Latvala Jan 		11 	72 	390 000
Laurila Henri 		0 	0 	270 000
Suhonen Samuli 		11 	64 	325 000
Tuhkanen Niko 		0 	0 	150 000
Uotila Juha 		13 	63 	220 000
Hyokkaajat 	  	O 	LPP 	Arvo
Aaltonen Juhamatti 	13 	116 	375 000
Corazzini Carl 		5 	11 	280 000
Heino Henri 		13 	49 	250 000
Jantunen Marko 		12 	48 	400 000
Kauppila Jari 		13 	80 	295 000
Koivunen Toni 		8 	17 	250 000
Paakkolanvaara Tommi 	12 	69 	275 000
Piispanen Arsi 		7 	10 	225 000
Poyhonen Marko 		6 	5 	190 000
Rinkinen Teemu 		13 	66 	260 000
Saarinen Jesse 		10 	40 	300 000
Santavuori Tuomas 	8 	38 	260 000
Sihvonen Kari 		11 	41 	230 000
Sopanen Vili 		13 	90 	300 000
Tavi Janne 		8 	30 	185 000
Tyrvainen Antti 	2 	11 	150 000
SaiPa
SaiPa
Maalivahdit 	  	O 	LPP 	Arvo
Hostikka Ville 		11 	12 	295 000
Myllyniemi Jere 	11 	77 	320 000
Puolustajat 	  	O 	LPP 	Arvo
Backman Simon 		11 	76 	245 000
Koponen Marlo 		9 	18 	160 000
Levokari Pauli 		10 	50 	350 000
Lippojoki Jarno 	2 	1 	200 000
Mielonen Juho 		9 	41 	205 000
